country_iso3c,year,recipient,civ_soc_aid,gov_aid,other_aid,dem_aid,dem_aid_all,country_id,elec_dem,lib_dem,delib_dem,egal_dem,participatory_dem,corruption_index,civ_soc_strength,civ_soc_part,GDPpc_vdem,exchange_rate,gini_vdem,pop_mil_vdem,pop_vdem,iso2c,country,GDPpc_WB_2010,GDPpc_ppp_WB_2011,GDPpc_growth_WB,GINI_WB,pop_WB,region,elec_dem2,lib_dem2,egal_dem2,delib_dem2,participatory_dem2,civ_soc_aid_cumul,gov_aid_cumul,other_aid_cumul,civ_soc_strength_l1,civ_soc_aid_l1,gov_aid_l1,other_aid_l1,elec_dem_l1,elec_dem2_l1,lib_dem_l1,lib_dem2_l1,delib_dem_l1,delib_dem2_l1,egal_dem_l1,egal_dem2_l1,participatory_dem_l1,participatory_dem2_l1,GDPpc_ppp_WB_2011_l1,civ_soc_aid_cumul_l1,gov_aid_cumul_l1,other_aid_cumul_l1,EU_accession,civ_soc_str_3yr,civ_soc_str_2yr,civ_soc_str_4yr,civ_soc_str_diff1,civ_soc_aid_diff1,civ_soc_cumul_diff1,gov_aid_diff1,gov_cumul_diff1,other_aid_diff1,other_cumul_diff1,civ_soc_cumul_diff1_l1,gov_cumul_diff1_l1,other_cumul_diff1_l1,civ_soc_str_3yr_l1,civ_soc_str_2yr_l1,civ_soc_aid_l1_log,gov_aid_l1_log,other_aid_l1_log,GDPpc_ppp_WB_2011_l1_log
ALB,1995,Albania,5.169943,18.679627,258.262526,23.84957,23.84957,12,0.480387911,0.368108908,0.31931542,0.350378016,0.276281761,0.68441009,0.772422749,0.417302338,2307.580078,92.69750214,NA,3178519.5,3149959,AL,Albania,1703.237156,4129.655126,14.00202422,NA,3187784,Europe & Central Asia,0.230772545,0.135504168,0.122764754,0.101962338,0.076331611,5.169943,18.679627,258.262526,0.772422749,NA,6.268677,226.008371,0.465566747,0.216752396,0.360863431,0.130222416,0.329587541,0.108627947,0.340987905,0.116272752,0.269611736,0.072690488,3622.440176,NA,6.268677,226.008371,no leverage,0.778392975,0.772422749,0.779266517,0,NA,NA,12.41095,12.41095,32.254155,32.254155,-182.258361,-330.250086,-10562.20683,0.424465351,0.426702716,NA,1.835565328,5.420572038,8.194903159
ALB,1996,Albania,0.293685,3.142426,281.438109,3.436111,3.436111,12,0.409572096,0.325257381,0.253519319,0.299393855,0.242831713,0.68441009,0.753803123,0.417302338,2481.860107,104.4989166,28,3156326.8,3122038,AL,Albania,1869.816823,4533.54285,9.780180454,27,3168033,Europe & Central Asia,0.167749302,0.105792364,0.08963668,0.064272045,0.058967241,5.463628,21.822053,539.700635,0.772422749,5.169943,18.679627,258.262526,0.480387911,0.230772545,0.368108908,0.135504168,0.31931542,0.101962338,0.350378016,0.122764754,0.276281761,0.076331611,4129.655126,5.169943,24.948304,484.270897,no leverage,0.766216207,0.763112936,0.772245512,-0.018619626,-4.876258,0.293685,-15.537201,-3.126251,23.175583,55.429738,NA,18.679627,258.262526,0.778392975,0.772422749,1.642861663,2.927433465,5.55397661,8.325949178
ALB,1997,Albania,15.067268,8.484041,225.178243,23.551309,23.551309,12,0.403008874,0.319035522,0.263645136,0.302251899,0.239982003,0.713002616,0.759952612,0.417302338,2197.909912,148.9329224,29.09999943,3134134.1,3101366,AL,Albania,1676.08284,4063.81699,-10.36112099,NA,3148281,Europe & Central Asia,0.162416153,0.101783664,0.09135621,0.069508758,0.057591362,20.530896,30.306094,764.878878,0.753803123,0.293685,3.142426,281.438109,0.409572096,0.167749302,0.325257381,0.105792364,0.253519319,0.064272045,0.299393855,0.08963668,0.242831713,0.058967241,4533.54285,5.463628,28.09073,765.709006,no leverage,0.762059495,0.756877868,0.764650309,0.006149489,14.773583,15.067268,5.341615,2.215364,-56.259866,-0.830128,15.360953,3.142426,281.438109,0.766216207,0.763112936,-1.225247515,1.144995113,5.639912562,8.419258999
ALB,1998,Albania,11.244575,37.771247,520.722139,49.015822,49.015822,12,0.425056272,0.338368367,0.300707876,0.307376184,0.273079114,0.751781726,0.783161909,0.583463921,2405.340088,150.6333313,28.89999962,3111941.4,3088133,AL,Albania,1835.596722,4450.573067,9.517064318,NA,3128530,Europe & Central Asia,0.180672834,0.114493152,0.094480118,0.090425227,0.074572202,31.775471,68.077341,1285.601017,0.759952612,15.067268,8.484041,225.178243,0.403008874,0.162416153,0.319035522,0.101783664,0.263645136,0.069508758,0.302251899,0.09135621,0.239982003,0.057591362,4063.81699,20.530896,36.574771,990.887249,no leverage,0.765639215,0.771557261,0.767335098,0.023209297,-3.822693,11.244575,29.287206,31.50257,295.543896,294.713768,26.311843,8.484041,225.178243,0.762059495,0.756877868,2.712524709,2.138186869,5.41689228,8.309877956
ALB,1999,Albania,16.030666,222.766555,820.612438,238.797221,238.797221,12,0.433764517,0.349251522,0.306717952,0.321523137,0.308694086,0.758384792,0.797631351,0.621655258,2751.889893,137.6905823,28.69999981,3089748.7,3081326,AL,Albania,2085.371147,5056.174132,13.60726038,NA,3108778,Europe & Central Asia,0.188151657,0.121976625,0.103377128,0.094075902,0.095292039,47.806137,290.843896,2106.213455,0.783161909,11.244575,37.771247,520.722139,0.425056272,0.180672834,0.338368367,0.114493152,0.300707876,0.090425227,0.307376184,0.094480118,0.273079114,0.074572202,4450.573067,31.775471,74.346018,1511.609388,no leverage,0.780248624,0.79039663,0.773637249,0.014469442,4.786091,16.030666,184.995308,216.497878,299.890299,594.604067,27.275241,37.771247,520.722139,0.765639215,0.771557261,2.41988579,3.631548152,6.255216577,8.400788146
ALB,2000,Albania,11.826611,63.585059,459.078435,75.41167,75.41167,12,0.445996377,0.367712147,0.322658409,0.332846853,0.31393801,0.73238437,0.780571113,0.627493498,2962.280029,143.7094116,28.5,3067556,3080066,AL,Albania,2244.564836,5442.153872,7.633830038,NA,3089027,Europe & Central Asia,0.198912769,0.135212223,0.110787028,0.104108449,0.098557074,59.632748,354.428955,2565.29189,0.797631351,16.030666,222.766555,820.612438,0.433764517,0.188151657,0.349251522,0.121976625,0.306717952,0.094075902,0.321523137,0.103377128,0.308694086,0.095292039,5056.174132,47.806137,297.112573,2332.221826,no leverage,0.787121458,0.789101232,0.780329246,-0.017060239,-4.204055,11.826611,-159.181496,57.316382,-361.534003,233.070064,27.857277,222.766555,820.612438,0.780248624,0.79039663,2.774503513,5.406124385,6.710050937,8.528365376
ALB,2001,Albania,9.574221,38.261272,448.499652,47.835493,47.835493,12,0.509184434,0.412698215,0.383644031,0.365441561,0.349589588,0.722784716,0.816405982,0.627493498,3228.52002,143.4848328,28.30000019,3069385,3085325,AL,Albania,2453.557464,5948.875718,9.311053274,NA,3060173,Europe & Central Asia,0.259268788,0.170319817,0.133547534,0.147182743,0.12221288,69.206969,392.690227,3013.791542,0.780571113,11.826611,63.585059,459.078435,0.445996377,0.198912769,0.367712147,0.135212223,0.322658409,0.104108449,0.332846853,0.110787028,0.31393801,0.098557074,5442.153872,59.632748,360.697632,2791.300261,no leverage,0.798202815,0.798488547,0.794442589,0.03583487,-2.25239,9.574221,-25.323787,31.992595,-10.578783,222.491281,21.400832,63.585059,459.078435,0.787121458,0.789101232,2.470352162,4.152378521,6.129221078,8.601930194
ALB,2002,Albania,12.207754,26.636699,624.959024,38.844453,38.844453,12,0.543267769,0.436544035,0.40797504,0.391287183,0.373137829,0.733687708,0.816405982,0.627493498,3397.679932,140.1545105,31.73999977,3076281,3097648,AL,Albania,2572.652201,6237.631862,4.853961613,31.7,3051010,Europe & Central Asia,0.295139869,0.190570694,0.153105659,0.166443633,0.139231839,81.414723,419.326926,3638.750566,0.816405982,9.574221,38.261272,448.499652,0.509184434,0.259268788,0.412698215,0.170319817,0.383644031,0.147182743,0.365441561,0.133547534,0.349589588,0.12221288,5948.875718,69.206969,398.958904,3239.799913,no leverage,0.804461026,0.816405982,0.802753607,0,2.633533,12.207754,-11.624573,20.368022,176.459372,398.950653,21.781975,38.261272,448.499652,0.798202815,0.798488547,2.259074174,3.64443821,6.105907906,8.690957526
ALB,2003,Albania,26.334907,53.39847,557.496994,79.733377,79.733377,12,0.552829352,0.445464382,0.417933187,0.397706773,0.377145678,0.733687708,0.801933307,0.624629886,3627.060059,121.8632507,29.60000038,3086737,3114978,AL,Albania,2725.096745,6607.247677,5.925579185,NA,3039616,Europe & Central Asia,0.305620292,0.198438515,0.158170678,0.174668149,0.142238863,107.74963,472.725396,4196.24756,0.816405982,12.207754,26.636699,624.959024,0.543267769,0.295139869,0.436544035,0.190570694,0.40797504,0.166443633,0.391287183,0.153105659,0.373137829,0.139231839,6237.631862,81.414723,425.595603,3864.758937,no leverage,0.811581757,0.809169645,0.803829096,-0.014472676,14.127153,26.334907,26.761771,47.129793,-67.46203,331.488623,38.542661,26.636699,624.959024,0.804461026,0.816405982,2.502071324,3.282289927,6.437686086,8.73835588
ALB,2004,Albania,29.986655,64.029268,524.430907,94.015923,94.015923,12,0.546775688,0.452700508,0.408148305,0.393544152,0.389007067,0.733687708,0.840907244,0.743269282,3864.389893,102.7800522,31.10000038,3098678,3134402,AL,Albania,2887.291291,7000.503271,5.951882136,NA,3026939,Europe & Central Asia,0.298963653,0.20493775,0.154876999,0.166585038,0.151326498,137.736285,536.754664,4720.678467,0.801933307,26.334907,53.39847,557.496994,0.552829352,0.305620292,0.445464382,0.198438515,0.417933187,0.174668149,0.397706773,0.158170678,0.377145678,0.142238863,6607.247677,107.74963,478.994073,4422.255931,no leverage,0.819748845,0.821420276,0.818913129,0.038973938,3.651748,29.986655,10.630798,57.760591,-33.066087,298.422536,56.321562,53.39847,557.496994,0.811581757,0.809169645,3.270895322,3.977782094,6.323457111,8.795922458
